,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
0,https://www.booli.se/annons/3571335,5100000,59302,3,86,2019-09-20,4077,405,3,1985,Bergshamra
1,https://www.booli.se/annons/3571314,4350000,62143,3,70,2019-09-19,3780,492,8,1961,Bergshamra
2,https://www.booli.se/annons/3543362,4950000,50510,4,98,2019-09-18,5141,306,1,1968,Bergshamra
3,https://www.booli.se/annons/3518287,3700000,49664,3,75,2019-09-18,3515,215,2,1953,Bergshamra
4,https://www.booli.se/annons/3521477,4750000,50802,4,94,2019-09-12,3894,500,3,1960,Bergshamra
5,https://www.booli.se/annons/3562800,3450000,46309,3,75,2019-09-11,3515,705,1,1953,Bergshamra
6,https://www.booli.se/annons/3546944,4100000,53947,3,76,2019-08-29,4104,467,8,1961,Bergshamra
7,https://www.booli.se/annons/3548639,3655000,48411,3,76,2019-08-28,2679,1453,3,1959,Bergshamra
8,https://www.booli.se/annons/3538552,3115000,57685,2,54,2019-08-17,2548,333,2,1960,Bergshamra
9,https://www.booli.se/annons/3520917,3600000,57143,2,63,2019-08-15,3316,916,6,1989,Bergshamra
10,https://www.booli.se/annons/3539110,3700000,54815,3,68,2019-08-14,3215,400,2,1990,Bergshamra
11,https://www.booli.se/annons/3531234,3500000,54517,2,64,2019-08-02,2975,317,5,1984,Bergshamra
12,https://www.booli.se/annons/3134952,3400000,50746,3,67,2018-05-05,2573,558,2,1960,Bergshamra
13,https://www.booli.se/annons/3134952,3400000,50746,3,67,2018-05-05,2573,558,2,1960,Bergshamra
14,https://www.booli.se/annons/3234614,2710000,77429,1,35,2018-09-21,2005,367,2,1960,Bergshamra
15,https://www.booli.se/annons/3113580,3550000,47020,3,76,2018-03-22,2837,417,3,1960,Bergshamra
16,https://www.booli.se/annons/3082836,4000000,49383,3,81,2018-09-11,3671,467,3,1990,Bergshamra
17,https://www.booli.se/annons/3218728,2410000,76508,1,32,2018-09-11,1449,333,3,1960,Bergshamra
18,https://www.booli.se/annons/3060256,3630000,48079,3,76,2018-04-28,2570,417,4,1960,Bergshamra
19,https://www.booli.se/annons/3039975,4910000,50619,4,97,2018-05-21,4121,508,3,1968,Bergshamra
20,https://www.booli.se/annons/3190981,3055000,55045,3,56,2018-09-04,3675,333,1,1953,Bergshamra
21,https://www.booli.se/annons/3378091,2615000,52616,1,50,2019-04-11,2623,293,0,1960,Bergshamra
22,https://www.booli.se/annons/3004771,6850000,50183,5,137,2019-02-23,5454,695,2,1990,Bergshamra
23,https://www.booli.se/annons/3339433,3335000,77558,2,43,2019-03-06,2212,562,10,1961,Bergshamra
24,https://www.booli.se/annons/3473130,3100000,40789,3,76,2019-06-24,4626,447,1,1954,Bergshamra
25,https://www.booli.se/annons/3451045,4750000,46798,4,102,2019-06-20,3864,440,1,1960,Bergshamra
26,https://www.booli.se/annons/3324099,3480000,55238,2.5,63,2019-04-05,3411,442,2,1990,Bergshamra
27,https://www.booli.se/annons/3034100,3040000,50667,2,60,2017-12-18,2749,335,5,1959,Bergshamra
28,https://www.booli.se/annons/3133254,3770000,50267,3,75,2018-05-23,3385,600,9,1959,Bergshamra
29,https://www.booli.se/annons/3202961,2620000,81875,1,32,2018-08-03,1472,350,3,1960,Bergshamra
30,https://www.booli.se/annons/3202961,2620000,81875,1,32,2018-08-03,1472,350,3,1960,Bergshamra
31,https://www.booli.se/annons/3224002,2425000,71324,1,34,2018-09-07,1416,500,0,1959,Bergshamra
32,https://www.booli.se/annons/3106938,3270000,51905,2,63,2018-10-01,2986,550,3,1990,Bergshamra
33,https://www.booli.se/annons/3239731,3350000,55833,2,60,2018-10-01,3086,350,4,1961,Bergshamra
34,https://www.booli.se/annons/3245291,4125000,59353,2.5,70,2018-10-05,4105,691,0,1991,Bergshamra
35,https://www.booli.se/annons/3370953,3950000,51634,3,77,2019-06-20,3302,447,2,1990,Bergshamra
36,https://www.booli.se/annons/3227427,3450000,46000,3,75,2018-09-13,3434,300,4,1959,Bergshamra
37,https://www.booli.se/annons/3237989,5850000,65730,3,89,2018-10-01,5003,567,1,1985,Bergshamra
38,https://www.booli.se/annons/3274966,5180000,58202,3,89,2018-12-09,5003,500,1,1985,Bergshamra
39,https://www.booli.se/annons/3119829,3395000,45267,3,75,2018-04-26,3562,549,1,1953,Bergshamra
40,https://www.booli.se/annons/3223275,3150000,44429,2.5,71,2018-11-19,3285,333,1,1985,Bergshamra
41,https://www.booli.se/annons/3288138,3225000,75000,2,43,2018-11-27,2212,400,9,1959,Bergshamra
42,https://www.booli.se/annons/3272373,2950000,48361,2,61,2019-02-01,3776,400,3,1954,Bergshamra
43,https://www.booli.se/annons/3342034,4250000,52469,3,81,2019-03-21,3659,467,1,1990,Bergshamra
44,https://www.booli.se/annons/3350781,5625000,62155,3,91,2019-04-10,4610,724,0,1991,Bergshamra
45,https://www.booli.se/annons/3439281,3730000,62167,2,60,2019-05-21,3086,417,7,1961,Bergshamra
46,https://www.booli.se/annons/3456698,3960000,58667,2,68,2019-06-05,2698,333,4,1990,Bergshamra
47,https://www.booli.se/annons/3463268,3775000,53929,3,70,2019-06-13,3140,353,4,1959,Bergshamra
48,https://www.booli.se/annons/3453627,3600000,45283,3,80,2019-06-14,3380,467,4,1990,Bergshamra
49,https://www.booli.se/annons/3453627,3600000,45283,3,80,2019-06-14,3380,467,4,1990,Bergshamra
50,https://www.booli.se/annons/3284895,3095000,40993,3,76,2018-12-04,3423,500,1,1953,Bergshamra
51,https://www.booli.se/annons/3414013,6595000,73278,3,90,2019-05-03,4759,588,10,1961,Bergshamra
52,https://www.booli.se/annons/3458542,3300000,43709,3,76,2019-06-10,3527,1841,2,1953,Bergshamra
53,https://www.booli.se/annons/3464334,3460000,45828,3,76,2019-06-12,3512,592,0,1953,Bergshamra
54,https://www.booli.se/annons/3384035,3500000,50000,3,70,2019-04-17,3463,540,1,1959,Bergshamra
55,https://www.booli.se/annons/3272010,2750000,50000,2,55,2018-11-10,3477,333,3,1954,Bergshamra
56,https://www.booli.se/annons/3456687,3330000,44698,3,75,2019-06-05,4409,387,0.5,1954,Bergshamra
57,https://www.booli.se/annons/3455708,2630000,47387,2,56,2019-06-06,3550,333,1.5,1954,Bergshamra
58,https://www.booli.se/annons/3432813,2500000,79365,1,32,2019-05-15,1478,333,3,1960,Bergshamra
59,https://www.booli.se/annons/3328987,3500000,43478,3,81,2019-02-25,3730,447,1,1985,Bergshamra
60,https://www.booli.se/annons/3404573,3135000,51818,2,61,2019-06-05,2933,255,1.5,1958,Bergshamra
61,https://www.booli.se/annons/2399924,2880000,55922,2,52,2017-09-13,2579,520,1,1953,Bergshamra
62,https://www.booli.se/annons/3449004,3540000,46887,3,76,2019-06-03,3036,410,1,1959,Bergshamra
63,https://www.booli.se/annons/3449184,4875000,50258,4,97,2019-05-30,4317,487,3,1968,Bergshamra
64,https://www.booli.se/annons/3449184,4875000,50258,4,97,2019-05-30,4317,487,3,1968,Bergshamra
65,https://www.booli.se/annons/2033535,3400000,45946,3,74,2016-04-12,3205,300,1,1959,Bergshamra
66,https://www.booli.se/annons/2252316,3960000,52105,3,76,2017-02-15,4039,450,2,1959,Bergshamra
67,https://www.booli.se/annons/2372852,2785000,55700,2,50,2017-08-10,2419,304,1,1953,Bergshamra
68,https://www.booli.se/annons/3026579,3800000,50000,3,76,2017-11-08,3339,32,2,1959,Bergshamra
69,https://www.booli.se/annons/3009549,4100000,47730,4,86,2018-05-04,3951,550,5,1960,Bergshamra
70,https://www.booli.se/annons/3431483,3000000,51724,2,58,2019-05-16,2706,347,2,1958,Bergshamra
71,https://www.booli.se/annons/3278541,3150000,42000,3,75,2018-12-20,3324,1411,0,1953,Bergshamra
72,https://www.booli.se/annons/3344690,4650000,66429,3,70,2019-03-30,3600,475,9,1959,Bergshamra
73,https://www.booli.se/annons/3371102,4210000,53291,3,79,2019-04-04,4010,382,5,1985,Bergshamra
74,https://www.booli.se/annons/3345956,4100000,47953,4,86,2019-04-09,4212,720,1,1960,Bergshamra
75,https://www.booli.se/annons/3356010,3270000,43600,3,75,2019-03-22,3336,500,5,1960,Bergshamra
76,https://www.booli.se/annons/3180743,3085000,40861,3,76,2018-06-25,3527,400,3,1954,Bergshamra
77,https://www.booli.se/annons/3325564,4200000,48894,4,86,2019-03-11,4230,662,1,1960,Bergshamra
78,https://www.booli.se/annons/3325564,4200000,48894,4,86,2019-03-11,4230,662,1,1960,Bergshamra
79,https://www.booli.se/annons/3355433,3400000,49275,3,69,2019-03-13,3194,350,3,1959,Bergshamra
80,https://www.booli.se/annons/3300836,3100000,41060,3,76,2019-02-22,4668,350,2,1953,Bergshamra
81,https://www.booli.se/annons/3328960,3575000,51439,2.5,70,2019-02-20,3513,449,0,1989,Bergshamra
82,https://www.booli.se/annons/3326588,1900000,97436,1,20,2019-02-09,1395,344,1,1953,Bergshamra
83,https://www.booli.se/annons/2283666,3350000,48551,3,69,2017-03-30,2537,533,1,1959,Bergshamra
84,https://www.booli.se/annons/3305746,3460000,50145,3,69,2019-01-24,3187,800,1,1958,Bergshamra
85,https://www.booli.se/annons/3272818,2850000,52294,2,55,2018-11-07,3323,737,3,1953,Bergshamra
86,https://www.booli.se/annons/3267814,3260000,51746,2,63,2018-11-05,3291,400,5,1988,Bergshamra
87,https://www.booli.se/annons/3261541,2930000,54159,2,54,2018-10-26,2489,375,0,1960,Bergshamra
88,https://www.booli.se/annons/3250915,5335000,52304,4,102,2018-10-23,6028,508,0,1954,Bergshamra
89,https://www.booli.se/annons/3264242,3050000,46212,3,66,2018-10-15,3186,467,0,1954,Bergshamra
90,https://www.booli.se/annons/3249379,3725000,49013,3,76,2018-10-18,3351,467,3,1960,Bergshamra
91,https://www.booli.se/annons/3190867,4460000,64173,3,70,2018-10-05,4105,728,1,1991,Bergshamra
92,https://www.booli.se/annons/3249906,4820000,67887,3,71,2018-10-04,3482,386,4,1990,Bergshamra
93,https://www.booli.se/annons/3238142,2210000,65000,1,34,2018-09-30,1921,300,0,1956,Bergshamra
94,https://www.booli.se/annons/3238142,2210000,65000,1,34,2018-09-30,1921,300,0,1956,Bergshamra
95,https://www.booli.se/annons/3206315,2250000,112500,1,20,2018-09-27,1142,408,1,1954,Bergshamra
96,https://www.booli.se/annons/3217098,3000000,53571,2,56,2018-08-30,2804,523,3,1958,Bergshamra
97,https://www.booli.se/annons/3212165,3350000,44371,3,76,2018-08-23,2679,793,4,1959,Bergshamra
98,https://www.booli.se/annons/3087219,2810000,51091,2,55,2018-02-20,2762,458,0,1953,Bergshamra
99,https://www.booli.se/annons/3187706,3530000,46755,3,76,2018-07-05,2679,440,4,1959,Bergshamra
100,https://www.booli.se/annons/3175425,4850000,50000,4,97,2018-06-20,5005,508,2,1968,Bergshamra
101,https://www.booli.se/annons/3157822,4650000,46970,4,99,2018-05-31,4832,550,4,1985,Bergshamra
102,https://www.booli.se/annons/3150904,2530000,56222,2,45,2018-05-31,2263,375,0,1954,Bergshamra
103,https://www.booli.se/annons/3141950,4200000,50602,4,83,2018-05-25,2899,405,1,1959,Bergshamra
104,https://www.booli.se/annons/3142151,3500000,46358,3,76,2018-05-22,3184,541,1,1960,Bergshamra
105,https://www.booli.se/annons/3139165,3100000,49206,2,63,2018-05-18,3291,350,5,1988,Bergshamra
106,https://www.booli.se/annons/3139203,3000000,47619,2.5,63,2018-05-09,3259,467,0,1988,Bergshamra
107,https://www.booli.se/annons/3126307,2320000,72500,1,32,2018-04-25,1472,333,3,1960,Bergshamra
108,https://www.booli.se/annons/3122301,4520000,50503,3,90,2018-04-14,4579,1020,2,1991,Bergshamra
109,https://www.booli.se/annons/3118193,3000000,40000,3,75,2018-04-16,4690,467,0,1954,Bergshamra
110,https://www.booli.se/annons/3084855,3295000,49179,3,67,2018-03-14,2716,384,3,1959,Bergshamra
111,https://www.booli.se/annons/3092378,3300000,47826,3,69,2018-02-26,2588,1160,3,1959,Bergshamra
112,https://www.booli.se/annons/3070219,5375000,60393,4,89,2018-01-29,4019,508,3,1990,Bergshamra
113,https://www.booli.se/annons/3064310,3800000,50331,3,76,2018-01-24,2679,417,0,1960,Bergshamra
114,https://www.booli.se/annons/3060112,3400000,45333,4,75,2018-01-18,3562,708,2,1954,Bergshamra
115,https://www.booli.se/annons/2382726,3150000,52066,3,61,2017-12-07,2291,528,2,1959,Bergshamra
116,https://www.booli.se/annons/3009862,3400000,45638,3,75,2017-11-01,3515,1057,2,1953,Bergshamra
117,https://www.booli.se/annons/3014152,2790000,46116,2,61,2017-10-31,2933,533,3,1959,Bergshamra
118,https://www.booli.se/annons/2418878,5120000,52784,4,97,2017-10-15,4279,625,1,1968,Bergshamra
119,https://www.booli.se/annons/2403225,3930000,47927,3,82,2017-10-10,4029,250,4,1989,Bergshamra
120,https://www.booli.se/annons/2413347,3550000,56349,2,63,2017-09-29,2834,417,1,1989,Bergshamra
121,https://www.booli.se/annons/2404410,3110000,54087,2,58,2017-09-25,1966,333,1,1960,Bergshamra
122,https://www.booli.se/annons/2404410,3110000,54087,2,58,2017-09-25,1966,333,1,1960,Bergshamra
123,https://www.booli.se/annons/2331563,3335000,47643,2,70,2017-09-15,3257,349,2,1985,Bergshamra
124,https://www.booli.se/annons/2373530,3350000,66337,2,51,2017-09-11,2471,324,7,1986,Bergshamra
125,https://www.booli.se/annons/2052789,3725000,58022,2,64,2017-09-06,2975,650,5,1985,Bergshamra
126,https://www.booli.se/annons/2393326,3150000,52941,2,60,2017-09-02,2054,400,2,1960,Bergshamra
127,https://www.booli.se/annons/2386422,3320000,44267,3,75,2017-08-31,3425,4000,0,1954,Bergshamra
128,https://www.booli.se/annons/2383396,2850000,66279,1,43,2017-08-24,2342,610,2,1961,Bergshamra
129,https://www.booli.se/annons/2371463,3150000,54783,2,58,2017-08-18,2173,330,6,1959,Bergshamra
130,https://www.booli.se/annons/2374005,3150000,45652,3,69,2017-08-16,3193,250,0,1954,Bergshamra
131,https://www.booli.se/annons/2356092,3600000,50350,3,72,2017-07-01,3215,618,3.5,1954,Bergshamra
132,https://www.booli.se/annons/2322521,5010000,55359,3,91,2017-05-25,4388,650,0,1990,Bergshamra
133,https://www.booli.se/annons/1473714,3300000,57391,2,58,2017-05-23,2678,283,6,1960,Bergshamra
134,https://www.booli.se/annons/2315097,2525000,74265,1,34,2017-05-17,1880,385,1,1959,Bergshamra
135,https://www.booli.se/annons/2310827,3100000,49206,2,63,2017-05-10,2875,583,3,1954,Bergshamra
136,https://www.booli.se/annons/2306243,2175000,64925,1,34,2017-05-04,1672,290,0,1954,Bergshamra
137,https://www.booli.se/annons/2286335,3800000,60317,2,63,2017-04-27,3047,572,5,1989,Bergshamra
138,https://www.booli.se/annons/2292350,3150000,50000,2,63,2017-04-14,2875,350,3,1954,Bergshamra
139,https://www.booli.se/annons/2286682,3400000,53968,2.5,63,2017-04-05,2818,417,0,1990,Bergshamra
140,https://www.booli.se/annons/2282176,3750000,62500,2,60,2017-03-31,3087,333,8,1961,Bergshamra
141,https://www.booli.se/annons/2276660,3920000,51921,3,76,2017-03-21,3499,417,2,1954,Bergshamra
142,https://www.booli.se/annons/2277569,5550000,57216,4,97,2017-03-14,4431,467,3,1968,Bergshamra
143,https://www.booli.se/annons/2265660,4225000,51212,3,83,2017-03-10,4058,505,3,1989,Bergshamra
144,https://www.booli.se/annons/2265660,4225000,51212,3,83,2017-03-10,4058,505,3,1989,Bergshamra
145,https://www.booli.se/annons/2264148,3800000,56716,3,67,2017-03-08,2573,346,1,1959,Bergshamra
146,https://www.booli.se/annons/2263977,5210000,53163,4,98,2017-03-02,4423,500,4,1968,Bergshamra
147,https://www.booli.se/annons/2220740,5650000,63483,4,89,2017-02-22,5003,625,0,1985,Bergshamra
148,https://www.booli.se/annons/2240814,3750000,59524,2.5,63,2017-01-25,3287,783,3,1988,Bergshamra
149,https://www.booli.se/annons/2234906,3795000,50600,3,75,2017-01-10,3562,417,1,1954,Bergshamra
150,https://www.booli.se/annons/2191051,3710000,53768,3,69,2016-10-20,2587,417,1,1959,Bergshamra
151,https://www.booli.se/annons/2183310,3210000,43087,3,75,2016-10-03,3515,393,2,1954,Bergshamra
152,https://www.booli.se/annons/2142172,3910000,51447,3,76,2016-08-10,3909,450,8,1959,Bergshamra
153,https://www.booli.se/annons/2144509,3320000,52283,2.5,64,2016-08-10,2986,1026,3,1954,Bergshamra
154,https://www.booli.se/annons/2131667,3510000,46490,3,76,2016-07-07,3512,567,3,1954,Bergshamra
155,https://www.booli.se/annons/2124356,4110000,59137,2,70,2016-06-22,4452,377,0,1991,Bergshamra
156,https://www.booli.se/annons/2119279,2200000,46316,1.5,48,2016-06-16,1986,200,0,1987,Bergshamra
157,https://www.booli.se/annons/2108167,3185000,42185,3,76,2016-06-15,3526,375,2,1954,Bergshamra
158,https://www.booli.se/annons/2093984,4395000,43088,4,102,2016-06-10,4532,925,0,1953,Bergshamra
159,https://www.booli.se/annons/2107980,3300000,43421,3,76,2016-06-01,3278,425,1,1959,Bergshamra
160,https://www.booli.se/annons/2092371,3300000,52381,2.5,63,2016-05-19,3077,400,1,1989,Bergshamra
161,https://www.booli.se/annons/2086445,3330000,44400,3,75,2016-05-16,3501,417,1,1953,Bergshamra
162,https://www.booli.se/annons/2088314,4400000,47059,4,94,2016-05-10,2899,625,1,1959,Bergshamra
163,https://www.booli.se/annons/2062553,3100000,41060,3,76,2016-04-18,3386,417,1,1954,Bergshamra
164,https://www.booli.se/annons/2061455,4420000,59329,3,75,2016-04-15,3485,417,1,1989,Bergshamra
165,https://www.booli.se/annons/2061455,4420000,59329,3,75,2016-04-15,3485,417,1,1989,Bergshamra
166,https://www.booli.se/annons/2031210,4500000,50000,4,90,2016-04-01,4715,134,3,2011,Bergshamra
167,https://www.booli.se/annons/2050565,4600000,53488,3,86,2016-03-18,4153,317,6,1985,Bergshamra
168,https://www.booli.se/annons/2040908,3050000,50833,2,60,2016-03-02,3216,470,0,1959,Bergshamra
169,https://www.booli.se/annons/2031546,3020000,40267,3,75,2016-02-18,3324,327,1,1953,Bergshamra
170,https://www.booli.se/annons/1991845,3150000,42000,3,75,2015-11-19,4489,347,1,1955,Bergshamra
171,https://www.booli.se/annons/1938329,2870000,38267,3,75,2015-09-03,4728,275,1,1954,Bergshamra
172,https://www.booli.se/annons/1915223,3830000,42556,3,90,2015-07-10,5218,575,0,1991,Bergshamra
173,https://www.booli.se/annons/1869153,4350000,48066,3,91,2015-05-15,5265,575,0,1991,Bergshamra
174,https://www.booli.se/annons/1856852,4770000,45213,5,106,2015-04-27,4160,461,1.5,1959,Bergshamra
175,https://www.booli.se/annons/1841982,3260000,50154,3,65,2015-04-24,3622,590,1,1985,Bergshamra
176,https://www.booli.se/annons/1849445,4930000,55393,4,89,2015-04-23,4794,540,0,1985,Bergshamra
177,https://www.booli.se/annons/1842530,3235000,42848,3,76,2015-04-15,2525,370,2,1959,Bergshamra
178,https://www.booli.se/annons/1798521,3900000,39394,4,99,2015-02-10,4929,600,6,1986,Bergshamra
179,https://www.booli.se/annons/1806517,2700000,62791,2,43,2015-02-06,2044,350,4,1960,Bergshamra
180,https://www.booli.se/annons/1798860,2495000,43017,2,58,2015-02-05,1999,325,1,1959,Bergshamra
181,https://www.booli.se/annons/1803017,2370000,39174,2,61,2015-02-05,2333,400,0,1959,Bergshamra
182,https://www.booli.se/annons/1802026,2400000,39669,2,61,2015-02-04,2333,250,0,1959,Bergshamra
183,https://www.booli.se/annons/1799170,2905000,38733,3,75,2015-01-31,3610,467,1,1959,Bergshamra
184,https://www.booli.se/annons/1770459,3500000,41716,3,84,2015-01-31,3887,500,0,1985,Bergshamra
185,https://www.booli.se/annons/1793810,4715000,52978,3,89,2015-01-21,4794,445,0,1985,Bergshamra
186,https://www.booli.se/annons/1788190,2630000,35302,3,75,2015-01-21,4057,333,1,1954,Bergshamra
187,https://www.booli.se/annons/1766474,2975000,49583,2,60,2014-11-20,2702,237,6,1961,Bergshamra
188,https://www.booli.se/annons/1767253,2800000,48276,2,58,2014-11-14,2106,400,0,1959,Bergshamra
189,https://www.booli.se/annons/1764287,3750000,46239,3,81,2014-11-12,3758,500,3,1985,Bergshamra
190,https://www.booli.se/annons/1727889,2605000,43417,2,60,2014-10-29,2644,383,0,1961,Bergshamra
191,https://www.booli.se/annons/1752400,2600000,46429,2,56,2014-10-23,2715,414,2,1959,Bergshamra
192,https://www.booli.se/annons/1752400,2600000,46429,2,56,2014-10-23,2715,414,2,1959,Bergshamra
193,https://www.booli.se/annons/1745575,5000000,49020,4,102,2014-10-16,4022,500,3,1990,Bergshamra
194,https://www.booli.se/annons/1740824,4020000,42094,4,96,2014-10-13,4425,856,5,1985,Bergshamra
195,https://www.booli.se/annons/1744198,2600000,46429,2,56,2014-10-08,2715,438,2,1959,Bergshamra
196,https://www.booli.se/annons/1731113,4000000,42553,4,94,2014-09-26,4504,438,2,1959,Bergshamra
197,https://www.booli.se/annons/1726647,2350000,31126,3,76,2014-09-20,4135,263,2,1955,Bergshamra
198,https://www.booli.se/annons/1723603,5495000,40256,5,137,2014-09-18,5454,825,0,1990,Bergshamra
199,https://www.booli.se/annons/1730036,3935000,53537,3,74,2014-09-18,2884,651,3,1990,Bergshamra
200,https://www.booli.se/annons/1720529,2010000,63810,1,32,2014-09-12,1449,250,3,1960,Bergshamra
201,https://www.booli.se/annons/1710912,2740000,45667,2,60,2014-09-04,3041,458,9,1961,Bergshamra
202,https://www.booli.se/annons/1725072,3200000,49844,2.5,64,2014-09-03,2975,350,5,1985,Bergshamra
203,https://www.booli.se/annons/1712852,3625000,42151,3,86,2014-08-31,4062,715,1,1987,Bergshamra
204,https://www.booli.se/annons/1701865,2500000,43478,2,58,2014-08-13,2086,350,4,1959,Bergshamra
205,https://www.booli.se/annons/1699642,3095000,36199,4,86,2014-08-11,3993,744,0,1960,Bergshamra
